Program,OptimizationLevel,CodeSizeBytes,ExecTimeSeconds,SecurityChecks,BasicBlocksCount,InstructionsCount,BranchCount,MemInstCount,MathInstCount,FloatInstCount,VectorInstCount,CallInstCount
23_void_pointers.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
23_void_pointers.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
24_do_while.c,-O0,656,N/A,N/A,3,14,3,8,1,0,0,0
24_do_while.c,-O1,420,N/A,N/A,0,1,0,0,0,0,0,0
24_do_while.c,-O2,420,N/A,N/A,0,1,0,0,0,0,0,0
24_do_while.c,-O3,420,N/A,N/A,0,1,0,0,0,0,0,0
25_complex_expression.c,-O0,713,N/A,N/A,0,22,0,16,5,0,0,0
25_complex_expression.c,-O1,435,N/A,N/A,0,1,0,0,0,0,0,0
25_complex_expression.c,-O2,435,N/A,N/A,0,1,0,0,0,0,0,0
25_complex_expression.c,-O3,435,N/A,N/A,0,1,0,0,0,0,0,0
loops_branches.c,-O0,1416,N/A,N/A,35,189,35,99,23,0,0,0
loops_branches.c,-O1,981,N/A,N/A,15,81,15,10,22,0,0,4
loops_branches.c,-O2,3944,N/A,N/A,17,123,17,21,42,0,2,4
loops_branches.c,-O3,3944,N/A,N/A,17,123,17,21,42,0,2,4
math_heavy.c,-O0,1896,N/A,N/A,11,84,11,49,4,11,0,3
math_heavy.c,-O1,2313,N/A,N/A,9,65,9,0,6,25,0,0
math_heavy.c,-O2,2630,N/A,N/A,9,86,9,0,6,41,8,0
math_heavy.c,-O3,2646,N/A,N/A,9,86,9,0,6,41,8,0
memory_ops.c,-O0,1950,N/A,N/A,26,175,26,105,13,3,0,2
memory_ops.c,-O1,1327,N/A,N/A,17,106,17,33,18,4,0,0
memory_ops.c,-O2,2712,N/A,N/A,21,179,21,69,41,9,0,0
memory_ops.c,-O3,2712,N/A,N/A,21,179,21,69,41,9,0,0
recursive_ops.c,-O0,1156,N/A,N/A,9,71,9,35,9,0,0,7
recursive_ops.c,-O1,1005,N/A,N/A,8,34,8,0,11,0,0,0
recursive_ops.c,-O2,1005,N/A,N/A,6,37,6,0,10,0,0,0
recursive_ops.c,-O3,1005,N/A,N/A,6,37,6,0,10,0,0,0
security_checks.c,-O0,1503,N/A,N/A,17,95,17,60,2,0,0,4
security_checks.c,-O1,671,N/A,N/A,7,31,7,8,3,0,0,0
security_checks.c,-O2,703,N/A,N/A,8,39,8,11,4,0,0,0
security_checks.c,-O3,703,N/A,N/A,8,39,8,11,4,0,0,0
